"","Group.1","x"
"662","E09000021, E09000025",86.9058
"663","E09000021, E09000026",43.999
"664","E09000021, E09000027",716.9908
"665","E09000021, E09000028",198.0015
"666","E09000021, E09000029",544.3377
"667","E09000021, E09000030",149.3097
"668","E09000021, E09000031",55.0786
"669","E09000021, E09000032",564.3887
"670","E09000021, E09000033",107.3896
"671","E09000022, E09000001",46.6461
"672","E09000022, E09000002",103.2527
"673","E09000022, E09000003",311.7277
"674","E09000022, E09000004",237.9128
"675","E09000022, E09000005",422.3958
"676","E09000022, E09000006",1081.2688
"677","E09000022, E09000007",702.2368
"678","E09000022, E09000008",3513.0598
"679","E09000022, E09000009",408.4632
"680","E09000022, E09000010",205.3533
"681","E09000022, E09000011",661.147
"682","E09000022, E09000012",936.4247
"683","E09000022, E09000013",763.2086
"684","E09000022, E09000014",677.8233
"685","E09000022, E09000015",120.252
"686","E09000022, E09000016",70.3278
"687","E09000022, E09000017",172.017
"688","E09000022, E09000018",233.6797
"689","E09000022, E09000019",882.7666
"690","E09000022, E09000020",360.4126
"691","E09000022, E09000021",376.5925
"692","E09000022, E09000023",1812.1283
"693","E09000022, E09000024",1520.2041
"694","E09000022, E09000025",532.0703
"695","E09000022, E09000026",138.1389
"696","E09000022, E09000027",472.6062
"697","E09000022, E09000028",3785.7896
"698","E09000022, E09000029",559.026
"699","E09000022, E09000030",1000.8841
"700","E09000022, E09000031",483.6644
"701","E09000022, E09000032",4609.8059
"702","E09000022, E09000033",634.9966
"703","E09000023, E09000001",25.3428
"704","E09000023, E09000002",150.9427
"705","E09000023, E09000003",267.7866
"706","E09000023, E09000004",1108.8942
"707","E09000023, E09000005",233.5176
"708","E09000023, E09000006",2774.9144
"709","E09000023, E09000007",260.753
"710","E09000023, E09000008",1277.6279
"711","E09000023, E09000009",212.3641
"712","E09000023, E09000010",196.7118
"713","E09000023, E09000011",2489.5574
"714","E09000023, E09000012",463.267
"715","E09000023, E09000013",165.9058
"716","E09000023, E09000014",290.7355
"717","E09000023, E09000015",84.2895
"718","E09000023, E09000016",106.2202
"719","E09000023, E09000017",147.1866
"720","E09000023, E09000018",158.7575
"721","E09000023, E09000019",306.346
"722","E09000023, E09000020",87.3717
"723","E09000023, E09000021",157.2324
"724","E09000023, E09000022",1177.6895
"725","E09000023, E09000024",273.9971
"726","E09000023, E09000025",490.1633
"727","E09000023, E09000026",151.4518
"728","E09000023, E09000027",174.8537
"729","E09000023, E09000028",2452.1725
"730","E09000023, E09000029",159.1095
"731","E09000023, E09000030",583.1646
"732","E09000023, E09000031",316.568
"733","E09000023, E09000032",546.1116
"734","E09000023, E09000033",183.301
"735","E09000024, E09000001",8.4323
"736","E09000024, E09000002",47.2735
"737","E09000024, E09000003",140.2536
"738","E09000024, E09000004",74.5738
"739","E09000024, E09000005",140.9287
"740","E09000024, E09000006",232.0745
"741","E09000024, E09000007",150.5722
"742","E09000024, E09000008",1618.4095
"743","E09000024, E09000009",177.5791
"744","E09000024, E09000010",62.1709
"745","E09000024, E09000011",210.8428
"746","E09000024, E09000012",116.6262
"747","E09000024, E09000013",235.0946
"748","E09000024, E09000014",134.2315
"749","E09000024, E09000015",80.7354
"750","E09000024, E09000016",34.095
"751","E09000024, E09000017",106.3744
"752","E09000024, E09000018",158.8556
"753","E09000024, E09000019",137.6366
"754","E09000024, E09000020",116.7696
"755","E09000024, E09000021",1125.6959
"756","E09000024, E09000022",900.9796
"757","E09000024, E09000023",267.3807
"758","E09000024, E09000025",184.5018
"759","E09000024, E09000026",81.6592
"760","E09000024, E09000027",244.8037
"761","E09000024, E09000028",306.8472
"762","E09000024, E09000029",2201.7303
"763","E09000024, E09000030",233.2839
"764","E09000024, E09000031",90.3702
"765","E09000024, E09000032",1850.4441
"766","E09000024, E09000033",121.0705
"767","E09000025, E09000001",15.5739
"768","E09000025, E09000002",3224.1356
"769","E09000025, E09000003",424.311
"770","E09000025, E09000004",437.1987
"771","E09000025, E09000005",472.6847
"772","E09000025, E09000006",295.4045
"773","E09000025, E09000007",271.4258
"774","E09000025, E09000008",414.121
